Attachment GUID,Metadata Text,Collection Object GUID
484d26d8-6ea4-4536-8ccc-a06c9164a3c8,,dba9fb3f-1ed3-11e3-bfac-90b11c41863e
484d26d8-6ea4-4536-8ccc-a06c9164a3c8,,dba9fdba-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7d24a-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7d4d5-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7d748-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7d9c6-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7dc46-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7debf-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7e14a-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7e3c9-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7e63a-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7e8b7-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7eb4c-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7edce-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7f048-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7f2c0-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7f542-1ed3-11e3-bfac-90b11c41863e
7c09f0b0-72bf-4772-aa40-d8c149c23d7c,,dba7f7bc-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba7fa39-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba7fcb0-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba7ff32-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba801d2-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba80459-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba806d1-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba80945-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba80bc2-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba80e31-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba8109e-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba8130f-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba81588-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba817f9-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba81a76-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba81ced-1ed3-11e3-bfac-90b11c41863e
787ec984-0a43-40dc-94e7-631dbdd819ea,,dba83bef-1ed3-11e3-bfac-90b11c41863e
a7e965fa-b4c0-42f7-b587-6fc449cd06ba,,dba87a4a-1ed3-11e3-bfac-90b11c41863e
a7e965fa-b4c0-42f7-b587-6fc449cd06ba,,dba87cc8-1ed3-11e3-bfac-90b11c41863e
a7e965fa-b4c0-42f7-b587-6fc449cd06ba,,dba87f44-1ed3-11e3-bfac-90b11c41863e
a7e965fa-b4c0-42f7-b587-6fc449cd06ba,,dba881c2-1ed3-11e3-bfac-90b11c41863e
a7e965fa-b4c0-42f7-b587-6fc449cd06ba,,dba88439-1ed3-11e3-bfac-90b11c41863e
a7e965fa-b4c0-42f7-b587-6fc449cd06ba,,dba886b0-1ed3-11e3-bfac-90b11c41863e
a7e965fa-b4c0-42f7-b587-6fc449cd06ba,,dba88920-1ed3-11e3-bfac-90b11c41863e
a7e965fa-b4c0-42f7-b587-6fc449cd06ba,,dba88ba4-1ed3-11e3-bfac-90b11c41863e
a7e965fa-b4c0-42f7-b587-6fc449cd06ba,,dba88e2d-1ed3-11e3-bfac-90b11c41863e
a7e965fa-b4c0-42f7-b587-6fc449cd06ba,,dba890a3-1ed3-11e3-bfac-90b11c41863e
98d1c6cc-36e5-4679-9051-73ddbf7d26ab,,dba81f5d-1ed3-11e3-bfac-90b11c41863e
98d1c6cc-36e5-4679-9051-73ddbf7d26ab,,dba821c9-1ed3-11e3-bfac-90b11c41863e
98d1c6cc-36e5-4679-9051-73ddbf7d26ab,,dba8243c-1ed3-11e3-bfac-90b11c41863e
98d1c6cc-36e5-4679-9051-73ddbf7d26ab,,dba826af-1ed3-11e3-bfac-90b11c41863e
98d1c6cc-36e5-4679-9051-73ddbf7d26ab,,dba82937-1ed3-11e3-bfac-90b11c41863e
98d1c6cc-36e5-4679-9051-73ddbf7d26ab,,dba82bb7-1ed3-11e3-bfac-90b11c41863e
98d1c6cc-36e5-4679-9051-73ddbf7d26ab,,dba82e35-1ed3-11e3-bfac-90b11c41863e
98d1c6cc-36e5-4679-9051-73ddbf7d26ab,,dba830b7-1ed3-11e3-bfac-90b11c41863e
98d1c6cc-36e5-4679-9051-73ddbf7d26ab,,dba83342-1ed3-11e3-bfac-90b11c41863e
98d1c6cc-36e5-4679-9051-73ddbf7d26ab,,dba835bf-1ed3-11e3-bfac-90b11c41863e
98d1c6cc-36e5-4679-9051-73ddbf7d26ab,,dba83840-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8d2d8-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8d55e-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8d846-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8dadb-1ed3-11e3-bfac-90b11c41863e
7ed0c0e8-0ae6-44b2-989e-f874d664b851,,dba8e3b0-1ed3-11e3-bfac-90b11c41863e
