taxon_ID,occurrenceID,scientific_name,scientific_name_authorship,original_name_usage,taxon_rank,taxon_source,scientific_name_id,taxon_remarks,parent_taxon_id,taxonomic_status,kingdom,phylum,class,order,family,subfamily,genus,subgenus,specificEpithet,accepted_scientific_name,vernacular_name
https://www.gbif.org/species/5993205,BR:Refauna:MNHN:Coleoptera:00077,"Plagiogramma fissus (Marseul, 1862)","Marseul, 1862","Epierus fissus Marseul, 1862",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Plagiogramma,,fissus,,
https://www.gbif.org/species/5993196,BR:Refauna:MNHN:Coleoptera:00078,"Plagiogramma nitescens (Marseul, 1862)","Marseul, 1862","Epierus nitescens Marseul, 1862",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Plagiogramma,,nitescens,,
https://www.gbif.org/species/5993764,BR:Refauna:MNHN:Coleoptera:00079,"Euspilotus (Hesperosaprinus) amazonius (Desbordes, 1923)","Desbordes, 1923","Saprinus amazonius Desbordes, 1923",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Euspilotus,Hesperosaprinus,amazonius,,
https://www.gbif.org/species/8571517,BR:Refauna:BMNH:Coleoptera:00080,"Eutidium lepidum Lewis, 1904","Lewis, 1904","Eutidium lepidum Lewis, 1904",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Eutidium,,lepidum,,
https://www.gbif.org/species/8673253,BR:Refauna:BMNH:Coleoptera:00081,"Eutidium pacale Lewis, 1903","Lewis, 1903","Eutidium pacale Lewis, 1903",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Eutidium,,pacale,,
https://www.gbif.org/species/1044635,BR:Refauna:MNHN:Coleoptera:00082,"Hololepta (Leionota) quadridentata (Olivier, 1789)","Olivier, 1789","Hister quadridentata Olivier, 1789",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Hololepta,Leionota,quadridentata,,
https://www.gbif.org/species/5994066,BR:Refauna:MNHN:Coleoptera:00083,"Hololepta (Hololepta) bogotana Marseul, 1853","Marseul, 1853","Hololepta bogotana Marseul, 1853",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Hololepta,Hololepta,bogotana,,
https://www.gbif.org/species/5994153,BR:Refauna:MNHN:Coleoptera:00084,"Hololepta (Hololepta) cayennensis Marseul, 1853","Marseul, 1853","Hololepta cayennensis Marseul, 1853",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Hololepta,Hololepta,cayennensis,,
https://www.gbif.org/species/5994144,BR:Refauna:MNHN:Coleoptera:00085,"Hololepta (Hololepta) curta Marseul, 1853","Marseul, 1853","Hololepta curta Marseul, 1853",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Hololepta,Hololepta,curta,,
https://www.gbif.org/species/5994135,BR:Refauna:MNHN:Coleoptera:00086,"Hololepta (Hololepta) excisa Marseul, 1853","Marseul, 1853","Hololepta excisa Marseul, 1853",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Hololepta,Hololepta,excisa,,
https://www.gbif.org/species/5994142,BR:Refauna:MNHN:Coleoptera:00087,"Hololepta (Hololepta) guidonis Marseul, 1860","Marseul, 1860","Hololepta guidonis Marseul, 1860",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Hololepta,Hololepta,guidonis,,
https://www.gbif.org/species/5994104,BR:Refauna:MNHN:Coleoptera:00088,"Hololepta (Hololepta) quadriformis Marseul, 1853","Marseul, 1853","Hololepta quadriformis Marseul, 1853",species,www.gbif.org,,,,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,Hololepta,Hololepta,quadriformis,,
