"1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text3","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.text2","1,99-leftsiderels,1-rightside,121-dnasequences.dnasequence.moleculeType","1,99-leftsiderels,1-rightside,121-dnasequences,5-sequencer.dnasequence.sequencer"
5476313b-a0b5-11ed-803c-6c2b597b15e2,KC825387,ficd,"Orti, Guillermo"
5477d38a-a0b5-11ed-803c-6c2b597b15e2,KC826441,kiaa1239,"Orti, Guillermo"
5478b24a-a0b5-11ed-803c-6c2b597b15e2,KC827295,myh6,"Broughton, Richard E"
547991ea-a0b5-11ed-803c-6c2b597b15e2,KC827590,Panx2,"Broughton, Richard E"
547a7070-a0b5-11ed-803c-6c2b597b15e2,KC828340,plagl2,"Carpenter, Kent E"
547b135d-a0b5-11ed-803c-6c2b597b15e2,KC828542,PTCHD1,"Lopez, Andres"
547bc8f4-a0b5-11ed-803c-6c2b597b15e2,KC828834,ripk4,"Carpenter, Kent E"
547d9a3f-a0b5-11ed-803c-6c2b597b15e2,KC830202,SVEP1,"Lopez, Andres"
547e0329-a0b5-11ed-803c-6c2b597b15e2,KC830327,tbr1,"Lopez, Andres"
547e725d-a0b5-11ed-803c-6c2b597b15e2,KC830708,VCPIP,"Lopez, Andres"
547f167c-a0b5-11ed-803c-6c2b597b15e2,KC830984,zic1,"Broughton, Richard E"
5485e456-a0b5-11ed-803c-6c2b597b15e2,KF929879,CO1,Barcode of Life Initiative
548a15e5-a0b5-11ed-803c-6c2b597b15e2,AP005994,mitochondrial DNA complete,"Miya, Masaki"
54851182-a0b5-11ed-803c-6c2b597b15e2,KF929861,CO1,Barcode of Life Initiative
548511c8-a0b5-11ed-803c-6c2b597b15e2,KF930247,CO1,Barcode of Life Initiative
546eb7d9-a0b5-11ed-803c-6c2b597b15e2,EU001974 ,ptr,"Li, Chenhong"
546f06b0-a0b5-11ed-803c-6c2b597b15e2,EU002029 ,enc1,"Li, Chenhong"
546fd270-a0b5-11ed-803c-6c2b597b15e2,EU001919 ,myh6,"Li, Chenhong"
5470389c-a0b5-11ed-803c-6c2b597b15e2,EU001944 ,ryr3,"Li, Chenhong"
5470ded7-a0b5-11ed-803c-6c2b597b15e2,EU001883 ,zic1,"Li, Chenhong"
54723203-a0b5-11ed-803c-6c2b597b15e2,EU001999 ,tbr1,"Li, Chenhong"
54728ced-a0b5-11ed-803c-6c2b597b15e2,EU002138 ,sreb2,"Li, Chenhong"
5473a0b9-a0b5-11ed-803c-6c2b597b15e2,EU002081 ,sh3px3,"Li, Chenhong"
5485e4a2-a0b5-11ed-803c-6c2b597b15e2,KF930009,CO1,Barcode of Life Initiative
54773dd2-a0b5-11ed-803c-6c2b597b15e2,KC826133,Hoxc6a,"Broughton, Richard E"
