Collection Object GUID,Col Obj Attribute Size
dbd87e51-1ed3-11e3-bfac-90b11c41863e,48-49mm SL
dbd87f52-1ed3-11e3-bfac-90b11c41863e,22-34mm SL
dbd88052-1ed3-11e3-bfac-90b11c41863e,250-270mm SL
dbd88164-1ed3-11e3-bfac-90b11c41863e,30-74mm SL
dbd88619-1ed3-11e3-bfac-90b11c41863e,30-57mm SL
dbd88726-1ed3-11e3-bfac-90b11c41863e,25-65mm SL
dbd888dc-1ed3-11e3-bfac-90b11c41863e,21-49mm SL
dbd889f9-1ed3-11e3-bfac-90b11c41863e,37-95mm SL
dbd88b0b-1ed3-11e3-bfac-90b11c41863e,49-100mm SL
dbd88c18-1ed3-11e3-bfac-90b11c41863e,24-39mm SL
dbd89175-1ed3-11e3-bfac-90b11c41863e,35-62mm SL
dbd89284-1ed3-11e3-bfac-90b11c41863e,35-68mm SL
dbd8938b-1ed3-11e3-bfac-90b11c41863e,26-84mm SL
dbd8948f-1ed3-11e3-bfac-90b11c41863e,49mm SL
dbd898d7-1ed3-11e3-bfac-90b11c41863e,30-34mm SL
dbd89c5c-1ed3-11e3-bfac-90b11c41863e,29-51mm SL
dbd89db9-1ed3-11e3-bfac-90b11c41863e,24-46mm SL
dbd8a349-1ed3-11e3-bfac-90b11c41863e,70mm SL
dbd8a493-1ed3-11e3-bfac-90b11c41863e,27-44mm SL
dbd8a5cb-1ed3-11e3-bfac-90b11c41863e,27-46mm SL
dbd8aa9f-1ed3-11e3-bfac-90b11c41863e,32-60mm SL
dbd8abf4-1ed3-11e3-bfac-90b11c41863e,44-48mm SL
dbd8b12f-1ed3-11e3-bfac-90b11c41863e,21-28mm SL
dbd8b5d2-1ed3-11e3-bfac-90b11c41863e,37mm SL
dbd8ba49-1ed3-11e3-bfac-90b11c41863e,46mm SL
dbd8c55c-1ed3-11e3-bfac-90b11c41863e,24mm SL
dbd8c67d-1ed3-11e3-bfac-90b11c41863e,39-51mm SL
dbd8c788-1ed3-11e3-bfac-90b11c41863e,41mm SL
dbd8c89f-1ed3-11e3-bfac-90b11c41863e,38-172mm SL
dbd8c9ae-1ed3-11e3-bfac-90b11c41863e,68-135mm SL
dbd8cabf-1ed3-11e3-bfac-90b11c41863e,33-88.5mm SL
