material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
98ded3487d70161f911d7cd24530ce3554f058ac,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45880,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:45880
5121ab469fec510a276b72ecabf137065f2692ef,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45886,,Cristóbal,CR,,,ECOSUR-SC:ECOAB:45886
f23ea0acf00b84808514f8d4ed05fd9b287c7885,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45899,,Miguel Cigarroa,MC,,,ECOSUR-SC:ECOAB:45899
b711d861f5db486281939122563ddf312cfce73a,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45912,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:45912
4526a300ba44d035d5afbe2664d0fd54c1f6b0c4,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45913,,Marcos Hurtado,MH,,,ECOSUR-SC:ECOAB:45913
6e7a19891751f80cf4cb70c98152f5879273b3d5,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45915,,Marcos Hurtado,MH,,,ECOSUR-SC:ECOAB:45915
494299e5c9004300e50680b2e67fd29f7674bcc1,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45916,,Marcos Hurtado,MH,,,ECOSUR-SC:ECOAB:45916
c2ff6fa6e7c692f3c8d5fc5610a9d7d535af9ea3,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45917,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45917
208121164668aadf30941610c3f76d1b25fe83cc,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45918,,Miguel Guzmán,MG,,,ECOSUR-SC:ECOAB:45918
8e37435aede6bc20cbd53ad85a787d2bd4dc3df9,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45919,,Jorge Mérida,JM,,,ECOSUR-SC:ECOAB:45919
9bade72413ed407de1425961a30eaf3492949af7,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45932,,Carlos Balboa,CB,,,ECOSUR-SC:ECOAB:45932
d26e4ec41e8551d028bb758a9b9d3fbe34147961,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45964,,A. Aquino,AA,,,ECOSUR-SC:ECOAB:45964
59bbb53c3639ad95df28e34add854759e8598399,ORGANISM,,,ECOSUR-SC,,ECOAB,1b96d6c65e835e778dae56e0500ef7f01c87690b,,45968,,Philippe Sagot,PS,,,ECOSUR-SC:ECOAB:45968
