identification_id,organism_id,identification_type,taxon_formula,verbatim_identification,type_status,identified_by,identified_by_id,date_identified,identification_references,identification_verification_status,identification_remarks,type_designation_type,type_designated_by
a53c0def79223257c3f65bd2905f11e7ccf0c292,2ac35b5b96e0055aaa0b443baa822a72cd8d8a23,features,A,,,Philippe Sagot,PS,,,,,,
ae01374864e85128ab875c27db4b0063ac427ecf,7e8b02f7be66b8914fe6baf92b2d7d59fee27386,features,A,,,Philippe Sagot,PS,,,,,,
29b91f98cff1b69adb5a3f61cfff5fa030744af8,c09f4f0b53b10984c10f294849b11585def7ef4e,features,A,,,Philippe Sagot,PS,,,,,,
fb45780892a91b459946a99e18609e299bbc37c8,3da6b77e2f6d098818705fb37cfa38cfcd80ec32,features,A,,,Jorge Mérida,JM,,,,,,
ea676eadedbef9966c9d2f3a40e3856cc4e5b58f,78ae3837cfe6aecf983fd466f20c12d65c32bee1,features,A,,,Philippe Sagot,PS,,,,,,
8353184c89aaa160f4d433d62c73a23f89b55a85,db20e66321a88a4415dc2f1176cb75e20ceb6613,features,A,,,Jorge Mérida,JM,,,,,,
15a437616ff0a23cc8f1c405c02fd76114f98d62,e498633d617184dce453822eb27a6394c9a0ae46,features,A,,,Philippe Sagot,PS,,,,,,
b239849eea581f896c6bdc939d9cea6d45514cf1,c2b84659127aeae041bf6969fc97be0c2a4d53b8,features,A,,,Philippe Sagot,PS,,,,,,
fb568ab3de637075c56246af0cef91b933678ad4,4a68b590aca518b1b16cd5422c055d8ded8bcb26,features,A,,,Philippe Sagot,PS,,,,,,
5b90db8c5ac77ed0df4acb11ca1e418bc1fea90e,a9c4205f081a819c58087a8794423dbf1b5e659a,features,A,,,Philippe Sagot,PS,,,,,,
b2cfeb51a8209fb7b71bbf2c0be625f8db555d76,354e29431948a51065dbecd2e331ce51f6d8a580,features,A,,,Philippe Sagot,PS,,,,,,
0d67d1f255d378309fc2c9533c44245612a10c2a,82fedec67a8f1f7780a87a8eea89011c090f1055,features,A,,,Philippe Sagot,PS,,,,,,
19b5413b38066c82c7cdb863b8aec2e201f7a27d,73e0eaf6c5e52a210532bf158be8eb7a0ff30a5f,features,A,,,Philippe Sagot,PS,,,,,,
6470d2ae43e7f63ac335b4f18fdc9b63bbc399c0,bcb1ef8f224718140e7071aa6d8502565899b273,features,A,,,Philippe Sagot,PS,,,,,,
3967c5129ad6db0b69510fabafedb828dd0d771a,e4a5e331fc646873c85b3c1f08520a59011cdac3,features,A,,,Philippe Sagot,PS,,,,,,
a68dae39f1056b08905a4cba443af8451dbc6816,1a8ceb1b9ff2c2877e7bdc7ba2ab44762adec5bc,features,A,,,Philippe Sagot,PS,,,,,,
588f9be3c9a749a27b6d398e854370fbf35190fe,c8a3c625a2a1357eac230a80bf6c9406dfd7a7f2,features,A,,,Philippe Sagot,PS,,,,,,
