taxon_id,scientific_name,scientific_name_authorship,name_according_to,name_according_to_id,taxon_rank,taxon_source,scientific_name_id,taxon_remarks,parent_taxon_id,taxonomic_status,kingdom,phylum,class,order,family,subfamily,genus,subgenus,accepted_scientific_name
fbe3d0e3f5d582d7fb8fb81859ae22ab27872d53,Serjania triquetra,,,,species,,,"{""verbatimScientificName"": ""Serjania triquetra""}",,,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae,,Serjania,,
0c5ee82d4d93e0ad5e64ff8b8ab5e903122faeee,Anemone,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Ranunculales,Ranunculaceae,,Anemone,,
6eef0ab50d1149a4e52dea551d43f2ceda45d83a,Arecaceae,,,,family,,,,,,Plantae,Tracheophyta,Equisetopsida,Arecales,Arecaceae,,,,
0558af56baf3a2612b29821d3409395a875d8a5c,Grevillea robusta,,,,species,,,"{""verbatimScientificName"": ""Grevillea robusta""}",,,Plantae,Tracheophyta,Equisetopsida,Proteales,Proteaceae,,Grevillea,,
216eabd7ef5fc59b826dfa7452ccbdcbf34e0b7d,Cajanus cajan,,,,species,,,"{""verbatimScientificName"": ""Cajanus cajan""}",,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Cajanus,,
383a6a7fa7b24843a0d58c77221b68b4cf72a1d7,Ricinus communis,,,,species,,,"{""verbatimScientificName"": ""Ricinus communis""}",,,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Euphorbiaceae,,Ricinus,,
3459a408014e72380e3dcefa4570186090c8d245,Rivina,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Caryophyllales,Petiveriaceae,,Rivina,,
1d4ff18546a691f229487eec25d62a71475c11e5,Randia,,,,genus,,,,,,Plantae,Tracheophyta,Equisetopsida,Gentianales,Rubiaceae,,Randia,,
7f3abea470b9e7cfdaabb35cccc8834094a46022,Vicia villosa,,,,species,,,"{""verbatimScientificName"": ""Vicia villosa""}",,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Vicia,,
fce4317aebb02107f595e52ee828b84b1767bf25,Ipomoea purpurea,,,,species,,,"{""verbatimScientificName"": ""Ipomoea purpurea""}",,,Plantae,Tracheophyta,Equisetopsida,Solanales,Convolvulaceae,,Ipomoea,,
1aef3e058ee066b7ff7c590ad8b13d55e6959740,Astranthium purpurascens,,,,species,,,"{""verbatimScientificName"": ""Astranthium purpurascens""}",,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Astranthium,,
471e235ca7f441e3255543188d89139bae101b45,Cuphea aequipetala,,,,species,,,"{""verbatimScientificName"": ""Cuphea aequipetala""}",,,Plantae,Tracheophyta,Equisetopsida,Myrtales,Lythraceae,,Cuphea,,
11ba7b105d61dfad10ff9cd037bbfd893a9337e0,Desmodium,,,,genus,,,"{""verbatimScientificName"": ""Desmodium aparines""}",,,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae,,Desmodium,,
c4fcf5f4f8537b91cdbbbab0b31a5ddee087ab50,Echeandia reflexa,,,,species,,,"{""verbatimScientificName"": ""Echeandia reflexa""}",,,Plantae,Tracheophyta,Equisetopsida,Asparagales,Asparagaceae,,Echeandia,,
8baf6f21e75b9997285dbaf024a997857ea5d631,Ipomoea indica,,,,species,,,"{""verbatimScientificName"": ""Ipomoea indica""}",,,Plantae,Tracheophyta,Equisetopsida,Solanales,Convolvulaceae,,Ipomoea,,
ef98bf66c3ebd9624e8614f4310db636c1f2e7e0,Salvia rosmarinus,,,,species,,,"{""verbatimScientificName"": ""Salvia rosmarinus""}",,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Lamiaceae,,Salvia,,
e0f1f92f29f4d90c55b1b779a50084cf482977c5,Prunella vulgaris,,,,species,,,"{""verbatimScientificName"": ""Prunella vulgaris""}",,,Plantae,Tracheophyta,Equisetopsida,Lamiales,Lamiaceae,,Prunella,,
b88780a15a79955b2f82eddf77ae0f5669ffeb78,Smallanthus maculatus,,,,species,,,"{""verbatimScientificName"": ""Smallanthus maculatus""}",,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Smallanthus,,
a4dd05209d3054c8f7d79ec0a368687ce7518f1a,Simsia amplexicaulis,,,,species,,,"{""verbatimScientificName"": ""Simsia amplexicaulis""}",,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Simsia,,
6448c4558fc6d012ab22fa543bbbaf3c1f055a9d,Tithonia tubaeformis,,,,species,,,"{""verbatimScientificName"": ""Tithonia tubaeformis""}",,,Plantae,Tracheophyta,Equisetopsida,Asterales,Asteraceae,,Tithonia,,
a05da5aebbf42db3a669ee9d4eb1dcd9dbc4c4dc,Solanum pubigerum,,,,species,,,"{""verbatimScientificName"": ""Solanum pubigerum""}",,,Plantae,Tracheophyta,Equisetopsida,Solanales,Solanaceae,,Solanum,,
