"georreference_id"	"location_id"	"decimal_latitude"	"decimal_longitude"	"geodetic_datum"	"coordinate_uncertainty_in_meters"	"coordinate_precision"	"point_radius_spacial_fit"	"footprint_wkt"	"footprint_srs"	"footprint_spatial_fit"	"georreferenced_by"	"georreference_date"	"georreference_protocol"	"georreference_sources"	"georreference_remarks"	"preferred_spatial_representation"
ce42739d3f568b9ea1736deabfbdde38	aff96c7f3f9d4e248c9cdfcd72691d63	22.7702797	-103.5677797	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"948d6443091c7e757965ebc189f94296"	"10cbbb5ed2455f1422d2fb60ea8723ac"	15.8641297	-93.5361597	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"9f77ccf6d7496854d5a0baaaffa0af65"	"275accc54e3e9e2f401ec1ba74b11457"	16.9005555	-96.5008333	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"0bc9eaa64b562d85530a573c5da21f0c"	c8bb7a220a975cb33f2ad361345cc156	17.8055597	-96.8611097	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
b4d0efcbf207c043456c87e04dd4553e	"2e5a2c866b702b59e094118ba70ceb10"	17.96083	-101.39417	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
dc6869b7c2dea53c9e769811c68bf6a2	"9be51aba6f86a63425bd106963379165"	24.7088997	-103.3431097	WGS84	50.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"09a699d60e054d91538968c9ebb07f24"	"8178e35689d0fad1d2c245000e81c45e"	20.3052319	-102.6329488	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
d90f9c075cdf65fa9757cc0871ae3ccd	"20bf45aff786bc1ce3e5d40d3e96fc19"	16.85694	-97.5408297	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"42367fb7d55fa7135b040bd7ff504556"	"906d25747f7d0111ff02759e9d8cef48"	15.5274997	-92.89417	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
e6b18fed3f0a44a1198a059fc8b50d57	"654ffe863fa0522f7c071350c918eca6"	22.82806	-98.4305597	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"948524178b4bda447b6d5ca046d4401b"	"8913ea0514989dd13f4b1f209d13c7cc"	16.21083	-98.0108297	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"5d6be18b73f379ad8d9ea091169e715e"	b5bac456153c26b27cbc900a931011bb	19.61389	-98.11861	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"989ded8b6c16945c36d8a11fdfc87e0e"	f81337567702c13764c9eb7a6370f172	16.9280597	-92.13889	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"3ab5c1ae8d8916824e83824df47c2351"	"828e79d38cf14a97ebfdf5dd46b05d8d"	16.2122222	-93.3363888	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
b81272b4d0a742c4638351fe295b0fee	"83e178cb7d6b9afb13b35b8ae8cf6b6b"	21.29361	-98.74611	WGS84	70.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
