citation_target_id	citation_target_type	citation_reference_id	citation_type	citation_page_number	citation_remarks
8051c02959c996071daeb557956f56ebd919c13a	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
8051c02959c996071daeb557956f56ebd919c13a	PROTOCOL	5c1a311cc3f009e7ce4165c3b9e7c4df67c7d451	OTHER		
2bd4cfef8315b582db8d0228e1d171ab4775c3ae	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
2bd4cfef8315b582db8d0228e1d171ab4775c3ae	PROTOCOL	5a9c16cb7a38865910c097a2c7f313c3efb68353	OTHER		
36a6ddeb78709dc559106f9c71e9bf6b00c563ca	PROTOCOL	a46fa03823cabbd5ffc58e33090cf8acf91f46f8	OTHER		
36a6ddeb78709dc559106f9c71e9bf6b00c563ca	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
93266fa26883424a1f62f88ec0f9ad87d962a64c	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
93266fa26883424a1f62f88ec0f9ad87d962a64c	PROTOCOL	ef709e5dd932c1fe7cf96217197ce3c195833dc3	OTHER		
f742f6e96951a709558a96f8af2b98f6abccfc6a	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
f742f6e96951a709558a96f8af2b98f6abccfc6a	PROTOCOL	b1189402042ce96d7f0d8f45cf72460fdd2a1c8f	OTHER		
acf589a13441475d3aaeefced5b858c635914abd	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
a1840c7d1e4de22b2c929c5a3ec6072990ba1d43	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
a1840c7d1e4de22b2c929c5a3ec6072990ba1d43	PROTOCOL	ea43ffdc595ccf3c07a343ec4d3bf47df2ff2896	OTHER		
fdba02ebe47337bffb4c8d852e7be533b1e1c35e	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
fdba02ebe47337bffb4c8d852e7be533b1e1c35e	PROTOCOL	8cc180617131b14aee4ca0740b6959bcc3afc126	OTHER		
fd994e44dcc8c6ac6f20216d4a33b64eabf0ba77	PROTOCOL	4420fadd5a6fc3706dc99992c605505fde65a19b	OTHER		
fd994e44dcc8c6ac6f20216d4a33b64eabf0ba77	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
59c4cd0fa685bd451fe2489426d53871c63dfc1e	PROTOCOL	f62a5181290a24080a61f3e57671c5061bd9480b	OTHER		
59c4cd0fa685bd451fe2489426d53871c63dfc1e	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
d8c59736093098507e9ee436b9092b54316115df	PROTOCOL	c5162466457a95b81aaf2c24513e58db2af6fa05	OTHER		
