"taxon_id","scientific_name","scientific_name_authorship","name_according_to","taxon_rank","taxon_source","scientific_name_id","taxon_remarks","parent_taxon_id","taxonomic_status","kingdom","phylum","class","_order","family","subfamily","genus","subgenus","accepted_scientific_name","taxon_rank_infraespecificEpithet","infraespecificEpithet","taxon_rank_sub_infraespecificEpithet","subinfraespecificEpithet"
a5c08fc7e24513fbcdb61e7ee73faae6,Zea mays mays Tuxpeño,"E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79238ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Tuxpeño,subespecie,mays,raza,Tuxpeño
c07e1b5bc895efd0c8aed1cce214c25c,Zea mays mays Tuxpeño,"E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79238ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Tuxpeño,subespecie,mays,raza,Tuxpeño
c6fa8adde0c824180be59a185bb007ff,Zea mays mays Tuxpeño,"E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79238ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Tuxpeño,subespecie,mays,raza,Tuxpeño
d8d647ef2e7c24393c530d307ab5736b,Zea mays mays Tuxpeño,"E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79238ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Tuxpeño,subespecie,mays,raza,Tuxpeño
e04b1a41475160f2388a600d62be580b,Zea mays mays Tuxpeño,"E.J. Wellhausen, L.M. Roberts, Hern.-Xol. & Mangelsd., 1951","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79238ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Tuxpeño,subespecie,mays,raza,Tuxpeño
"1bac38b72160e3438bf1eb8991013df2",Zea mays mays Ancho,"R. Ortega, 1979","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79239ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Ancho,subespecie,mays,raza,Ancho
"31ebdc59cc585a226bdfb0e10bcc94fd",Zea mays mays Ancho,"R. Ortega, 1979","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79239ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Ancho,subespecie,mays,raza,Ancho
b5edb98a16a1fc17081d87ea14ed29f9,Zea mays mays Ancho,"R. Ortega, 1979","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79239ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Ancho,subespecie,mays,raza,Ancho
e1fc9d1d197d8b7e50750fea88a0109a,Zea mays mays Ancho,"R. Ortega, 1979","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79239ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Ancho,subespecie,mays,raza,Ancho
a6fceaa48f3cd3132c267633b52e6ada,Zea mays mays Apachito,"Hern.-Xol. & G. Alanis, 1970","Ron Parra, Sánchez González, Jiménez Cordero, Carrera Valtierra, Martín López, Morales Rivera, de la Cruz Larios, Hurtado de la Peña, Mena Munguía & Rodríguez Flores, 2006",raza,"","79240ANGIO","","",aceptado,Plantae,Tracheophyta,Equisetopsida,Poales,Poaceae,Panicoideae,Zea,"",Zea mays mays Apachito,subespecie,mays,raza,Apachito
