1.collectionobject.guid,"1,23.collection.primaryPurpose","1,29-collectionobjectcitations,69.referencework.guid","1,29-collectionobjectcitations,69.referencework.referenceWorkType","1,29-collectionobjectcitations.collectionobjectcitation.pageNumber","1,29-collectionobjectcitations.collectionobjectcitation.remarks"
dc6ea716-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dc1182d8-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dc6538db-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dbdd6205-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dbef35eb-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
db408eab-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
db1c99c5-1ed3-11e3-bfac-90b11c41863e,Organism,e83b2f32-fb14-4a0e-a4f8-55cd57a94925,2,,
dcbee52b-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
dc506adc-1ed3-11e3-bfac-90b11c41863e,Organism,5fa2e2c8-3b4f-4a0e-9e1b-27ae11ae4429,2,,
db4f4fc0-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
db884ee7-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
db5fd13e-1ed3-11e3-bfac-90b11c41863e,Organism,b0c40e03-9789-4c7c-88a6-26c1cd721c3f,2,,
dc61ff88-1ed3-11e3-bfac-90b11c41863e,Organism,5fa2e2c8-3b4f-4a0e-9e1b-27ae11ae4429,2,,
dc4a0e81-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dbdbe775-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
dc0e6c92-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
db2776a3-1ed3-11e3-bfac-90b11c41863e,Organism,8f9277c0-a9aa-47f6-b4c6-de4586dadd64,2,,
dc966531-1ed3-11e3-bfac-90b11c41863e,Organism,0f264358-a545-445d-8726-41f1d3cc18ec,2,,
dc52cca8-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dc1b730d-1ed3-11e3-bfac-90b11c41863e,Organism,c6413dac-8b10-46d5-8a11-635bd285bc6a,2,,
dbb5318b-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dbb4f6cf-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dc504280-1ed3-11e3-bfac-90b11c41863e,Organism,5fa2e2c8-3b4f-4a0e-9e1b-27ae11ae4429,2,,
db5c0511-1ed3-11e3-bfac-90b11c41863e,Organism,e83b2f32-fb14-4a0e-a4f8-55cd57a94925,2,,
dc653297-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
db2ee806-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
dc451bd9-1ed3-11e3-bfac-90b11c41863e,Organism,5fa2e2c8-3b4f-4a0e-9e1b-27ae11ae4429,2,,
dc34d6dd-1ed3-11e3-bfac-90b11c41863e,Organism,0b4e5878-7e44-48d5-aaed-0161a86958ef,2,,
dcd6df63-1ed3-11e3-bfac-90b11c41863e,Organism,b0bf47f4-1490-4058-b44e-bc3d26d3ff5f,2,,
dc6ea29a-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dc61ff88-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dc451bd9-1ed3-11e3-bfac-90b11c41863e,Organism,0b4e5878-7e44-48d5-aaed-0161a86958ef,2,,
dc507b00-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dcccc3b5-1ed3-11e3-bfac-90b11c41863e,Organism,f73f8d92-d101-4bc6-aa75-a6173247a0af,2,,
dc3c4b82-1ed3-11e3-bfac-90b11c41863e,Organism,1fb025e9-8075-4c62-bfff-b64880e641fc,2,,
dc506adc-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
db29a5bd-1ed3-11e3-bfac-90b11c41863e,Organism,f73f8d92-d101-4bc6-aa75-a6173247a0af,2,,
db6ba841-1ed3-11e3-bfac-90b11c41863e,Organism,1ebf2917-0161-4dfa-8f13-9745c0f6bc5a,2,,
dbefc1e9-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dbe305fe-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dcd8e12c-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
dc5050be-1ed3-11e3-bfac-90b11c41863e,Organism,5fa2e2c8-3b4f-4a0e-9e1b-27ae11ae4429,2,,
dc3c4865-1ed3-11e3-bfac-90b11c41863e,Organism,bbf9a781-2137-4df6-8f68-09b52b59e821,2,,
dc0e6c92-1ed3-11e3-bfac-90b11c41863e,Organism,5fa2e2c8-3b4f-4a0e-9e1b-27ae11ae4429,2,,
dc506adc-1ed3-11e3-bfac-90b11c41863e,Organism,0aa6fcb9-d16e-4636-8fef-a4ab6e70ca20,2,,
dbc15489-1ed3-11e3-bfac-90b11c41863e,Organism,903ac749-2f03-4eb9-8029-6ff9a7c2eb13,2,,
dc6217c4-1ed3-11e3-bfac-90b11c41863e,Organism,0b4e5878-7e44-48d5-aaed-0161a86958ef,2,,
db9c5500-1ed3-11e3-bfac-90b11c41863e,Organism,2676c350-4381-4b47-8ddb-185388b8cb9c,2,,
db7684d2-1ed3-11e3-bfac-90b11c41863e,Organism,b0c40e03-9789-4c7c-88a6-26c1cd721c3f,2,,
dc4a0e81-1ed3-11e3-bfac-90b11c41863e,Organism,5fa2e2c8-3b4f-4a0e-9e1b-27ae11ae4429,2,,
dc3c55d1-1ed3-11e3-bfac-90b11c41863e,Organism,1fb025e9-8075-4c62-bfff-b64880e641fc,2,,
dbc89aff-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
db337368-1ed3-11e3-bfac-90b11c41863e,Organism,e83b2f32-fb14-4a0e-a4f8-55cd57a94925,2,,
db24180c-1ed3-11e3-bfac-90b11c41863e,Organism,366a6c41-deba-46ee-a3a4-9477736d5542,2,,
dcc4d670-1ed3-11e3-bfac-90b11c41863e,Organism,db876f1b-b573-4144-9487-5d96ef8a7a0e,2,,
db3c4e79-1ed3-11e3-bfac-90b11c41863e,Organism,e83b2f32-fb14-4a0e-a4f8-55cd57a94925,2,,
dc9f05d7-1ed3-11e3-bfac-90b11c41863e,Organism,68664775-cf47-4c58-8149-49d70cf43163,2,,
