taxon_id;scientific_name;scientific_name_authorship;name_according_to;name_according_to_id;taxon_rank;taxon_source;scientific_name_id;taxon_remarks;parent_taxon_id;taxonomic_status;kingdom;phylum;class;"""order""";family;subfamily;genus;subgenus;accepted_scientific_name
https://www.gbif.org/species/2976645;Isomacrolobium isopetalum (Harms) Aubrév. & Pellegr.;(Harms) Aubrév. & Pellegr.;;;SPECIES;;;;;SYNONYM;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Englerodendron;;Isomacrolobium isopetalum 
https://www.gbif.org/species/2941148;Microberlinia bisulcata A.Chev.;A.Chev.;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Microberlinia;;Microberlinia bisulcata 
https://www.gbif.org/species/2961130;Plagiosiphon longituba (Harms) J.Léonard;(Harms) J.Léonard;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Plagiosiphon;;Plagiosiphon longitubus 
https://www.gbif.org/species/5631131;Newtonia duncanthomasii Mackinder & Cheek;Mackinder & Cheek;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Newtonia;;Newtonia duncanthomasii 
https://www.gbif.org/species/2932957;Calpocalyx heitzii Pellegr.;Pellegr.;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Calpocalyx;;Calpocalyx heitzii 
https://www.gbif.org/species/2976221;Entada camerunensis Villiers;Villiers;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Entada;;Entada camerunensis 
https://www.gbif.org/species/5355815;Millettia zechiana Harms;Harms;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Millettia;;Millettia zechiana 
https://www.gbif.org/species/5355844;Millettia hypolampra Harms;Harms;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Millettia;;Millettia hypolampra 
https://www.gbif.org/species/5352576;Baphia buettneri subsp. hylophila (Harms) Soladoye;(Harms) Soladoye;;;SUBSPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Baphia;;Baphia buettneri subsp. hylophila 
https://www.gbif.org/species/2952342;Angylocalyx zenkeri Harms;Harms;;;SPECIES;;;;;SYNONYM;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Angylocalyx;;Angylocalyx zenkeri 
https://www.gbif.org/species/5348986;Eriosema letouzeyi Jacq.-Fél.;Jacq.-Fél.;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Eriosema;;Eriosema letouzeyi 
https://www.gbif.org/species/5349321;Pterocarpus zenkeri Harms;Harms;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Pterocarpus;;Pterocarpus zenkeri  
https://www.gbif.org/species/5350667;Rhynchosia ambacensis subsp. cameroonensis Verdc.;Verdc.;;;SUBSPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Rhynchosia;;Rhynchosia ambacensis  subsp. camerunensis 
https://www.gbif.org/species/2968823;Dalbergia oligophylla Baker ex Hutch. & Dalziel;Baker ex Hutch. & Dalziel;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;Dalbergia;;Dalbergia oligophylla 
https://www.gbif.org/species/3879461;Oncoba ovalis Oliv.;Oliv.;;;SPECIES;;;;;SYNONYM;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Achariaceae;;Camptostylus;;Oncoba ovalis 
https://www.gbif.org/species/3879531;Oncoba lophocarpa Oliv.;Oliv.;;;SPECIES;;;;;SYNONYM;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Achariaceae;;Caloncoba;;Oncoba lophocarpha 
https://www.gbif.org/species/3880479;Dovyalis cameroonensis Cheek & Ngolan;Cheek & Ngolan;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;;Dovyalis;;Dovyalis camerunensis 
https://www.gbif.org/species/3878149;Trichostephanus acuminatus Gilg;Gilg;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;;Trichostephanus;;Trichostephanus acuminatus 
https://www.gbif.org/species/5604161;Homalium hypolasium Mildbr.;Mildbr.;;;SPECIES;;;;;ACCEPTED;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;;Homalium;;Homalium hypolasium 
